id	app_type_id	parent_skill_id	creator_id	skill_icon	skill_picture_url	title	description	created_date	updated_date	level_id	privacy	order	status	rand
2093	1	\N	2	184	skill_default.png	Organizing and cleaning my apartment. Keeping my apartment clean all the time.	"I have had some surprise visits. I can imagine if I can either clean so fast that by the time the visitor arrives, it will be as clean to be mi casa es su casa. Or having a habit to keep it clean all the time."	2014-10-07 03:43:12	2016-02-02 15:15:16	2	0	1	0	0.319441808
2090	1	\N	2	255	skill_default.png	Web Designing	"Web Designing using simpe tools. i.e. MS Word, MS Powerpoint, MS Visio."	2014-04-01 18:27:13	2016-01-21 00:50:41	1	0	1	0	0.86757691
2081	1	\N	2	180	skill_default.png	Drawing	I used to like drawing with pencil and paper but somehow stopped.	2014-11-23 15:29:14	2016-02-01 02:45:01	2	0	1	0	0.272543318
2091	1	\N	2	13	skill_default.png	"Excel, to be awesome in excel. It's hidden functions"	"Excel is one of my favorite software. I have gained so much knowledge and I want to share with the world. However, I am still way less to be an excel expert, so I want to learn from the community."	2014-11-29 19:14:27	2016-02-10 06:53:08	2	0	1	0	0.274384242
202705	2	\N	1	46	goal_default.png	Record a Song		2014-03-03 05:02:07	2015-05-20 14:48:12	6	0	1	0	0.494075132
300963	3	\N	1	167	hobby_default.png	Roller derby		2014-01-23 21:25:12	2015-08-30 12:48:49	10	0	1	0	0.486846154
1035	1	\N	1	32	skill_default.png	retirement village manager		2014-08-07 13:43:49	2015-08-06 19:14:44	1	0	1	0	0.940967581
200228	2	\N	1	223	goal_default.png	Travel By Bus.		2014-04-08 05:26:10	2015-02-09 01:37:55	6	0	1	0	0.566269976
300557	3	\N	1	266	hobby_default.png	Blogging		2014-01-18 23:57:42	2015-06-20 02:52:48	10	0	1	0	0.419496903
200331	2	\N	1	34	goal_default.png	Order One of Everything on a Menu		2014-01-07 18:08:56	2015-10-06 17:54:06	6	0	1	0	0.352475661
202209	2	\N	1	84	goal_default.png	Go to a Spa.		2014-10-11 14:34:57	2015-12-15 12:26:12	6	0	1	0	0.778707093
881	1	\N	1	182	skill_default.png	ask for help appropriately		2014-01-04 03:19:35	2015-11-06 17:46:19	1	0	1	0	0.029576621
1082	1	\N	1	252	skill_default.png	birdwatching		2014-04-29 14:22:42	2015-05-22 03:31:58	1	0	1	0	0.322084601
201278	2	\N	1	140	goal_default.png	Go on a Cruise		2014-12-16 11:43:26	2015-02-25 05:36:32	6	0	1	0	0.386235276
200643	2	\N	1	239	goal_default.png	Spend the Night in Martha s Vineyard in Massachusetts		2014-03-03 06:24:55	2015-02-25 20:51:30	6	0	1	0	0.729207314
201014	2	\N	1	38	goal_default.png	Read Ten Books on Marketing and Try to Apply the Lessons to My Persuasive Writing		2014-09-07 00:59:46	2015-01-02 11:01:15	6	0	1	0	0.947203235
202166	2	\N	1	4	goal_default.png	Use a Paddle to Bid At an Auction		2014-07-06 12:46:39	2015-12-10 05:27:53	6	0	1	0	0.323266834
201577	2	\N	1	141	goal_default.png	Go Cave Jumping		2014-09-16 03:52:16	2015-07-26 19:48:43	6	0	1	0	0.701961489
1630	1	\N	1	45	skill_default.png	"camera operator (film, television or video)"		2014-10-21 12:03:45	2015-01-26 10:02:12	1	0	1	0	0.58788842
588	1	\N	1	20	skill_default.png	patents examiner		2014-07-01 17:28:02	2015-12-04 17:08:10	1	0	1	0	0.002972097
203037	2	\N	1	224	goal_default.png	Cut Our First Child's Umbilical Cord		2014-01-12 19:23:40	2015-09-02 05:18:40	6	0	1	0	0.041240989
846	1	\N	1	83	skill_default.png	deer farmer		2014-11-05 08:20:41	2015-06-25 09:37:09	1	0	1	0	0.29970709
300736	3	\N	1	155	hobby_default.png	Men's sports		2014-06-11 20:35:23	2015-06-08 05:50:38	10	0	1	0	0.281406949
300366	3	\N	1	36	hobby_default.png	Table tennis		2014-11-03 06:24:46	2015-01-31 06:10:13	10	0	1	0	0.123303062
375	1	\N	1	110	skill_default.png	food preparation		2014-03-17 15:05:54	2015-10-22 09:32:07	1	0	1	0	0.346354985
200103	2	\N	1	146	goal_default.png	Be Myself		2014-05-03 15:36:52	2015-07-02 09:21:27	6	0	1	0	0.308438708
202368	2	\N	1	46	goal_default.png	Double Sales Or Productivity		2014-11-15 15:52:42	2015-05-24 14:36:58	6	0	1	0	0.083544173
200523	2	\N	1	222	goal_default.png	Drink Only Water for a Week		2014-05-24 17:55:32	2015-10-19 15:33:07	6	0	1	0	0.879022481
1120	1	\N	1	210	skill_default.png	architectural draftsperson		2014-03-06 08:06:35	2015-01-13 15:21:19	1	0	1	0	0.088877021
300797	3	\N	1	242	hobby_default.png	Coaching		2014-09-17 23:51:22	2015-06-30 21:40:19	10	0	1	0	0.463467647
983	1	\N	1	97	skill_default.png	performing clerical work 		2014-08-03 21:05:37	2015-10-30 16:02:47	1	0	1	0	0.217542219
1012	1	\N	1	256	skill_default.png	otorhinolaryngologist		2014-09-15 04:44:59	2015-05-12 20:25:52	1	0	1	0	0.26793183
300498	3	\N	1	124	hobby_default.png	Genetic genealogy		2014-07-24 08:52:31	2015-05-28 20:03:42	10	0	1	0	0.004471127
300662	3	\N	1	268	hobby_default.png	Soapmaking		2014-10-26 17:09:27	2015-11-14 17:58:08	10	0	1	0	0.442843232
300942	3	\N	1	26	hobby_default.png	Making dioramas		2014-01-04 15:36:00	2015-12-21 18:21:36	10	0	1	0	0.297980104
201186	2	\N	1	210	goal_default.png	Renew our vows in a tropical setting 		2014-09-22 15:04:19	2015-12-05 09:49:41	6	0	1	0	0.24526217
202723	2	\N	1	144	goal_default.png	Post a YouTube video that generates 1 million views.		2014-01-21 00:49:24	2015-06-07 21:45:30	6	0	1	0	0.784153208
201853	2	\N	1	257	goal_default.png	Try Bikram Yoga		2014-05-17 11:20:15	2015-05-25 23:32:38	6	0	1	0	0.01365817
496	1	\N	1	142	skill_default.png	leaf collecting and pressing		2014-12-08 18:54:35	2015-09-17 12:18:26	1	0	1	0	0.558486083
201361	2	\N	1	108	goal_default.png	Hike in Nepal		2014-01-01 07:14:36	2015-01-04 11:55:24	6	0	1	0	0.365443087
200089	2	\N	1	193	goal_default.png	Book a Dive to the Titanic		2014-01-16 13:18:03	2015-09-22 03:50:07	6	0	1	0	0.863238965
300061	3	\N	1	35	hobby_default.png	Collecting Movies		2014-11-20 13:25:58	2015-08-23 12:05:28	10	0	1	0	0.386028554
782	1	\N	1	169	skill_default.png	handling complaints		2014-11-15 10:11:08	2015-07-03 00:16:25	1	0	1	0	0.419017972
1571	1	\N	1	21	skill_default.png	email		2014-06-11 12:40:36	2015-11-14 14:56:59	1	0	1	0	0.547374252
103	1	\N	1	2	skill_default.png	art teacher (private tuition)		2014-09-19 06:34:25	2015-01-21 18:28:05	1	0	1	0	0.743183449
760	1	\N	1	266	skill_default.png	clearly express myself		2014-07-27 07:05:05	2015-04-27 10:36:55	1	0	1	0	0.297825034
202636	2	\N	1	231	goal_default.png	Deadlift 500 Pounds		2014-12-03 06:44:21	2015-01-14 18:46:57	6	0	1	0	0.638184259
202447	2	\N	1	65	goal_default.png	Learning / Education		2014-02-17 03:21:36	2015-12-24 05:27:36	6	0	1	0	0.333408994
1374	1	\N	1	89	skill_default.png	update your skills		2014-10-07 15:55:09	2015-12-19 04:11:34	1	0	1	0	0.460792059
201900	2	\N	1	146	goal_default.png	Climb Ben Nevis		2014-09-29 07:22:22	2015-01-15 09:57:01	6	0	1	0	0.511229203
202271	2	\N	1	93	goal_default.png	Go Heli-Skiing		2014-10-16 06:45:22	2015-07-02 01:36:37	6	0	1	0	0.188433863
202123	2	\N	1	47	goal_default.png	Get Quality Sleep		2014-03-24 16:59:57	2015-10-05 02:50:47	6	0	1	0	0.202742693
300347	3	\N	1	44	hobby_default.png	Craft		2014-01-18 06:02:27	2015-07-05 18:43:29	10	0	1	0	0.179525189
200798	2	\N	1	208	goal_default.png	Have a Spa Day		2014-08-01 15:32:15	2015-01-16 03:14:50	6	0	1	0	0.8592685
202892	2	\N	1	193	goal_default.png	Eat Lutefisk Five Times		2014-02-06 17:05:08	2015-04-30 23:01:49	6	0	1	0	0.273579899
1130	1	\N	1	173	skill_default.png	insect collecting		2014-09-28 19:19:29	2015-03-09 18:44:56	1	0	1	0	0.077586415
202187	2	\N	1	65	goal_default.png	Dance With My Dad At My Wedding		2014-07-04 01:16:19	2015-01-04 08:14:47	6	0	1	0	0.971068824
1133	1	\N	1	98	skill_default.png	way		2014-07-14 04:50:36	2015-08-19 22:44:07	1	0	1	0	0.577408616
127	1	\N	1	132	skill_default.png	clerk duties		2014-11-23 16:37:47	2015-08-31 13:24:06	1	0	1	0	0.117606684
200981	2	\N	1	203	goal_default.png	Become a bartender		2014-01-30 17:13:55	2015-10-22 01:32:36	6	0	1	0	0.107910447
202590	2	\N	1	47	goal_default.png	Create a Scrapbook		2014-04-29 04:25:49	2015-06-03 01:12:26	6	0	1	0	0.044199934
1051	1	\N	1	245	skill_default.png	welding		2014-05-24 23:46:02	2015-12-06 02:44:10	1	0	1	0	0.607307177
1914	1	\N	1	194	skill_default.png	"locate answers, gather information"		2014-04-02 20:40:16	2015-06-24 06:04:36	1	0	1	0	0.904039041
1304	1	\N	1	126	skill_default.png	crisis work		2014-05-26 02:33:48	2015-10-29 00:05:28	1	0	1	0	0.367247346
164	1	\N	1	180	skill_default.png	realistic		2014-10-15 06:20:36	2015-01-22 19:17:46	1	0	1	0	0.206842673
300527	3	\N	1	182	hobby_default.png	Golfing		2014-05-03 23:35:57	2015-08-18 14:45:27	10	0	1	0	0.982173664
301001	3	\N	1	95	hobby_default.png	Storytelling		2014-09-18 07:11:34	2015-05-10 19:37:12	10	0	1	0	0.202626169
200188	2	\N	1	175	goal_default.png	Vacation with my wife annually on our anniversary for the rest of our lives		2014-12-27 13:29:34	2015-09-15 03:19:18	6	0	1	0	0.90601247
201637	2	\N	1	227	goal_default.png	See the Tessellated Pavement in Tasmania		2014-03-13 18:49:15	2015-12-13 20:39:07	6	0	1	0	0.802830384
201897	2	\N	1	211	goal_default.png	Be At the Top of the Tallest Building in the World		2014-09-19 05:33:04	2015-06-23 20:23:25	6	0	1	0	0.691396345
1218	1	\N	1	41	skill_default.png	fortran		2014-07-01 09:50:50	2015-05-14 21:42:37	1	0	1	0	0.514880486
572	1	\N	1	118	skill_default.png	jeweller		2014-04-23 17:52:57	2015-12-16 10:32:18	1	0	1	0	0.078119355
1696	1	\N	1	88	skill_default.png	tolerating interruptions		2014-01-07 12:39:19	2015-04-17 16:30:26	1	0	1	0	0.417414771
2030	1	\N	1	249	skill_default.png	organization		2014-08-13 04:54:37	2015-08-07 04:33:19	1	0	1	0	0.681538835
300417	3	\N	1	53	hobby_default.png	Stone skipping		2014-12-31 09:39:36	2015-03-05 12:42:29	10	0	1	0	0.135533992
744	1	\N	1	93	skill_default.png	fisheries inspector		2014-01-01 17:16:39	2015-07-15 08:39:42	1	0	1	0	0.07495872
202772	2	\N	1	89	goal_default.png	Attend a Masquerade		2014-04-09 04:13:44	2015-02-24 16:08:41	6	0	1	0	0.468333673
300750	3	\N	1	160	hobby_default.png	Terry bears		2014-12-31 22:57:48	2015-03-07 03:06:29	10	0	1	0	0.678752932
202508	2	\N	1	4	goal_default.png	Drink Only Water for a Year		2014-03-21 07:28:08	2015-11-12 20:32:56	6	0	1	0	0.330492019
201878	2	\N	1	79	goal_default.png	Go to Comicon		2014-05-09 14:32:47	2015-07-16 07:36:55	6	0	1	0	0.255786995
1095	1	\N	1	108	skill_default.png	avoid wasting time		2014-11-08 06:47:57	2015-04-14 13:30:43	1	0	1	0	0.749196437
201827	2	\N	1	108	goal_default.png	Eat At a Michelin 3-Star Restaurant		2014-02-26 00:23:46	2015-02-12 19:38:30	6	0	1	0	0.140179221
201690	2	\N	1	166	goal_default.png	Go to Paris		2014-12-07 06:36:17	2015-10-31 18:41:54	6	0	1	0	0.979552239
200009	2	\N	1	204	goal_default.png	Own my own business		2014-05-09 21:47:14	2015-01-12 10:19:03	6	0	1	0	0.601109021
202497	2	\N	1	79	goal_default.png	Eat a Soft Pretzel From a Cart in Nyc		2014-09-30 07:49:44	2015-01-20 00:23:02	6	0	1	0	0.100944575
200486	2	\N	1	179	goal_default.png	Hunt for Wild Mushrooms		2014-03-22 12:02:10	2015-03-06 04:25:41	6	0	1	0	0.057240646
201925	2	\N	1	81	goal_default.png	Find the Cheapest Activities Around Town.		2014-02-25 03:53:51	2015-01-01 18:55:26	6	0	1	0	0.622563658
114	1	\N	1	205	skill_default.png	driving instructor		2014-10-28 22:01:29	2015-10-19 02:50:04	1	0	1	0	0.44042884
201257	2	\N	1	190	goal_default.png	Watch the Monjuic Magic Fountain in Spain		2014-12-02 13:55:47	2015-09-29 13:08:41	6	0	1	0	0.26885652
202852	2	\N	1	23	goal_default.png	Meet With a Career Planning Advisor.		2014-09-10 17:23:51	2015-01-24 00:20:10	6	0	1	0	0.815134602
200758	2	\N	1	133	goal_default.png	Sunbathe Topless on the French Riviera in France		2014-10-29 08:04:08	2015-03-27 11:02:33	6	0	1	0	0.042354234
300629	3	\N	1	236	hobby_default.png	Create card pyramids		2014-07-02 03:19:18	2015-04-29 23:58:08	10	0	1	0	0.883584127
201176	2	\N	1	191	goal_default.png	Go Roller Skating With My Wife and August		2014-09-29 20:44:10	2015-01-16 15:57:01	6	0	1	0	0.349782048
202046	2	\N	1	176	goal_default.png	Design an in dividual Yoga Experience		2014-07-03 04:16:19	2015-02-20 13:41:57	6	0	1	0	0.827382647
202278	2	\N	1	222	goal_default.png	Have a Romantic Flight in a Hot Air Balloon		2014-08-20 22:23:14	2015-06-19 07:27:59	6	0	1	0	0.249732743
800071	8	\N	1	145	advice_default.png	"Never run out of responsibility. If you don't have one, find one."		2014-06-11 20:01:41	2015-03-30 20:19:15	13	0	1	0	0.243875111
201004	2	\N	1	249	goal_default.png	Join an online dating service		2014-10-26 01:39:30	2015-10-25 01:37:47	6	0	1	0	0.277241637
300641	3	\N	1	275	hobby_default.png	Tesla coils		2014-12-13 08:02:41	2015-07-04 22:12:09	10	0	1	0	0.923663168
300776	3	\N	1	72	hobby_default.png	Cheerleading		2014-08-27 13:50:44	2015-01-29 22:28:34	10	0	1	0	0.033483382
200936	2	\N	1	225	goal_default.png	Buy My Own Car		2014-05-04 14:42:52	2015-01-12 15:57:10	6	0	1	0	0.505790371
300244	3	\N	1	98	hobby_default.png	Sleeping		2014-07-02 19:17:20	2015-04-28 00:00:26	10	0	1	0	0.733292631
300724	3	\N	1	80	hobby_default.png	Collecting matchboxes		2014-07-11 03:30:06	2015-06-26 12:19:26	10	0	1	0	0.513926312
160	1	\N	1	233	skill_default.png	verbal		2014-05-11 19:22:39	2015-06-26 01:42:58	1	0	1	0	0.600856011
200605	2	\N	1	133	goal_default.png	Ride in a Hot Air Balloon 		2014-07-07 23:07:00	2015-12-08 10:15:53	6	0	1	0	0.830860399
201263	2	\N	1	181	goal_default.png	Enter the World Bog Snorkeling Championships		2014-04-15 22:04:22	2015-02-20 06:26:21	6	0	1	0	0.157866067
201751	2	\N	1	158	goal_default.png	Go to a Floating Lantern Festival		2014-08-10 21:43:03	2015-10-04 12:14:24	6	0	1	0	0.879313573
201433	2	\N	1	216	goal_default.png	Eat Snails in Paris		2014-03-12 17:39:16	2015-09-16 09:46:57	6	0	1	0	0.773920903
200446	2	\N	1	4	goal_default.png	Go skydiving		2014-09-10 13:21:04	2015-09-30 15:24:03	6	0	1	0	0.426181556
202460	2	\N	1	80	goal_default.png	"Go Horseback Riding in Swan Valley, Montana"		2014-11-20 12:00:35	2015-11-22 02:08:01	6	0	1	0	0.924425063
300733	3	\N	1	137	hobby_default.png	Pinball machines/ arcade games		2014-07-31 15:22:28	2015-09-15 10:45:50	10	0	1	0	0.060184631
1456	1	\N	1	209	skill_default.png	electroplater		2014-10-30 08:58:08	2015-04-24 16:15:36	1	0	1	0	0.217156905
449	1	\N	1	46	skill_default.png	puzzles		2014-07-09 18:26:04	2015-03-12 06:38:53	1	0	1	0	0.590991893
300918	3	\N	1	193	hobby_default.png	Poetry reading		2014-11-18 19:04:31	2015-01-14 12:31:15	10	0	1	0	0.11525128
200588	2	\N	1	87	goal_default.png	Attend a Ted Talk		2014-11-14 18:21:45	2015-01-16 00:29:14	6	0	1	0	0.81148538
1235	1	\N	1	40	skill_default.png	acupuncturist		2014-12-08 04:01:55	2015-10-21 19:52:19	1	0	1	0	0.266234489
300489	3	\N	1	222	hobby_default.png	Racing pigeons		2014-08-30 13:08:41	2015-04-21 06:15:16	10	0	1	0	0.866147185
201199	2	\N	1	86	goal_default.png	Find a Karaoke Song That I Am Comfortable Singing		2014-12-21 20:58:16	2015-03-14 10:48:09	6	0	1	0	0.377389211
800062	8	\N	1	229	advice_default.png	Get one big success at an early age. It will help build your confidence for bigger things.		2014-06-16 06:57:36	2015-12-29 18:40:02	13	0	1	0	0.243875111
1972	1	\N	1	163	skill_default.png	sheetmetal trades worker		2014-09-26 12:29:05	2015-08-09 04:28:08	1	0	1	0	0.34982425
736	1	\N	1	110	skill_default.png	equipment hire manager		2014-01-21 00:50:24	2015-03-14 07:39:04	1	0	1	0	0.156982323
201153	2	\N	1	2	goal_default.png	Go to Super Bowl Xlix		2014-12-14 10:06:32	2015-03-20 11:15:22	6	0	1	0	0.994697076
300272	3	\N	1	155	hobby_default.png	Hiking/letterboxing/geocaching		2014-10-31 04:49:09	2015-04-26 05:37:58	10	0	1	0	0.692648011
201089	2	\N	1	22	goal_default.png	"Spend one day per month, every month, with each one of our kids until they are grown and married"		2014-11-08 05:57:24	2015-09-26 14:16:57	6	0	1	0	0.073159165
300294	3	\N	1	141	hobby_default.png	Train spotting		2014-08-26 07:22:31	2015-07-05 05:08:53	10	0	1	0	0.763078308
338	1	\N	1	239	skill_default.png	backpacking		2014-08-01 12:41:54	2015-06-21 18:48:40	1	0	1	0	0.895612305
202320	2	\N	1	50	goal_default.png	Experience True Love		2014-06-16 20:11:02	2015-11-07 22:28:42	6	0	1	0	0.167187894
201471	2	\N	1	226	goal_default.png	Do a Backflip		2014-02-10 13:08:15	2015-05-12 16:12:26	6	0	1	0	0.618802124
1453	1	\N	1	35	skill_default.png	"analyze data, audit and maintain records"		2014-05-29 02:09:36	2015-05-25 12:44:21	1	0	1	0	0.785502155
202148	2	\N	1	264	goal_default.png	Have a Meaningful Conversation With a Stranger		2014-01-15 12:02:53	2015-02-27 04:26:41	6	0	1	0	0.611265772
101	1	\N	1	196	skill_default.png	discreet		2014-03-26 14:47:46	2015-04-16 21:02:53	1	0	1	0	0.045717968
202538	2	\N	1	52	goal_default.png	Spend the Entire Day By Yourself		2014-01-08 11:24:26	2015-04-14 22:13:18	6	0	1	0	0.713417987
202759	2	\N	1	52	goal_default.png	Cook a Good Dinner 4 Times a Week		2014-03-06 22:30:26	2015-04-11 18:58:54	6	0	1	0	0.081402696
202264	2	\N	1	129	goal_default.png	Become a Personal Trainer		2014-04-09 21:15:50	2015-01-14 19:14:53	6	0	1	0	0.279927984
256	1	\N	1	224	skill_default.png	speak a foreign language (specify language)		2014-04-21 17:56:15	2015-07-22 21:44:56	1	0	1	0	0.457772207
202087	2	\N	1	93	goal_default.png	Speak Spanish		2014-08-02 09:28:05	2015-04-19 12:52:34	6	0	1	0	0.950477058
300802	3	\N	1	249	hobby_default.png	Foreign language learning		2014-03-14 22:11:08	2015-08-04 05:21:33	10	0	1	0	0.523117247
282	1	\N	1	92	skill_default.png	inspection		2014-01-13 16:46:34	2015-06-25 09:50:15	1	0	1	0	0.331188744
362	1	\N	1	162	skill_default.png	displaying samples		2014-08-16 13:52:28	2015-11-09 03:26:12	1	0	1	0	0.123789769
200805	2	\N	1	211	goal_default.png	Chase a Tornado		2014-09-03 18:04:19	2015-12-07 20:42:00	6	0	1	0	0.645106832
202725	2	\N	1	132	goal_default.png	Having Occupational Success	Being successful in my occupation; having a good job; having an occupation; keeping up to date with career-related knowledge; having work I really like	2014-10-24 08:53:57	2015-04-27 09:43:12	6	0	1	0	0.854039113
301055	3	\N	1	262	hobby_default.png	Football		2014-03-20 02:12:03	2015-08-11 09:02:44	10	0	1	0	0.315857913
202403	2	\N	1	106	goal_default.png	Dance All Around the World		2014-11-03 03:35:43	2015-03-30 06:24:55	6	0	1	0	0.503344542
202203	2	\N	1	257	goal_default.png	Play / Recreation		2014-06-12 09:43:21	2015-01-18 16:10:25	6	0	1	0	0.290930657
300234	3	\N	1	263	hobby_default.png	Freshwater aquariums		2014-04-25 22:23:23	2015-09-20 17:27:01	10	0	1	0	0.91756994
1765	1	\N	1	12	skill_default.png	roof tiler		2014-04-15 22:25:06	2015-03-17 17:09:45	1	0	1	0	0.855123585
202424	2	\N	1	198	goal_default.png	Ride in a Limousine		2014-10-01 04:12:35	2015-09-16 23:18:40	6	0	1	0	0.914699639
202620	2	\N	1	44	goal_default.png	Attend a Native American Pow Wow		2014-06-07 16:31:44	2015-02-14 23:25:26	6	0	1	0	0.738083527
202872	2	\N	1	215	goal_default.png	Go Volcano Boarding		2014-10-20 11:53:05	2015-12-25 22:28:25	6	0	1	0	0.333633685
600	1	\N	1	273	skill_default.png	corel draw		2014-04-23 07:37:03	2015-10-15 02:36:49	1	0	1	0	0.750539198
866	1	\N	1	59	skill_default.png	general conscientiousness		2014-11-19 16:20:30	2015-02-25 13:04:05	1	0	1	0	0.887398214
721	1	\N	1	69	skill_default.png	responsible		2014-08-26 11:10:02	2015-07-17 07:45:07	1	0	1	0	0.15409302
1908	1	\N	1	212	skill_default.png	biochemist		2014-12-20 01:28:16	2015-06-07 22:17:37	1	0	1	0	0.944035571
201681	2	\N	1	265	goal_default.png	Eat Couscous in Morocco		2014-05-09 06:45:39	2015-06-10 06:24:12	6	0	1	0	0.626703148
202465	2	\N	1	156	goal_default.png	Go Horseback Riding on the Beach		2014-09-05 02:16:13	2015-12-16 21:20:01	6	0	1	0	0.61246678
202150	2	\N	1	48	goal_default.png	Complete an Ultra Marathon		2014-09-19 07:21:30	2015-05-28 18:18:09	6	0	1	0	0.112373502
741	1	\N	1	182	skill_default.png	reading		2014-02-18 15:00:26	2015-10-03 20:32:56	1	0	1	0	0.077332301
202953	2	\N	1	186	goal_default.png	Be a Voice in a Cartoon Movie		2014-01-19 21:20:53	2015-03-24 00:35:25	6	0	1	0	0.473995155
