id	creator_id	explore_id	level_id	description	created_at	updated_at	privacy	status
35	1	6287	1027				0	0
41	1	6288	1027				0	0
61	1	6291	1027				0	0
88	1	6295	1027				0	0
94	1	6296	1027				0	0
100	1	6297	1027				0	0
127	1	6301	1027				0	0
154	1	6305	1027				0	0
195	1	6311	1027				0	0
17	1	6284	1028				0	0
30	1	6286	1028				0	0
36	1	6287	1028				0	0
42	1	6288	1028				0	0
62	1	6291	1028				0	0
89	1	6295	1028				0	0
95	1	6296	1028				0	0
101	1	6297	1028				0	0
128	1	6301	1028				0	0
155	1	6305	1028				0	0
196	1	6311	1028				0	0
18	1	6284	1029				0	0
31	1	6286	1029				0	0
37	1	6287	1029				0	0
43	1	6288	1029				0	0
63	1	6291	1029				0	0
90	1	6295	1029				0	0
96	1	6296	1029				0	0
102	1	6297	1029				0	0
129	1	6301	1029				0	0
156	1	6305	1029				0	0
197	1	6311	1029				0	0
19	1	6284	1030				0	0
32	1	6286	1030				0	0
38	1	6287	1030				0	0
44	1	6288	1030				0	0
64	1	6291	1030				0	0
91	1	6295	1030				0	0
97	1	6296	1030				0	0
103	1	6297	1030				0	0
130	1	6301	1030				0	0
157	1	6305	1030				0	0
198	1	6311	1030				0	0
20	1	6284	1031				0	0
33	1	6286	1031				0	0
39	1	6287	1031				0	0
45	1	6288	1031				0	0
65	1	6291	1031				0	0
92	1	6295	1031				0	0
98	1	6296	1031				0	0
104	1	6297	1031				0	0
131	1	6301	1031				0	0
158	1	6305	1031				0	0
199	1	6311	1031				0	0
