id	first_explorer_id	second_explorer_id	creator_id	created_at	updated_at	level_id	privacy	order	status
71	15017	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
72	15018	15000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
73	15100	15001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
74	15101	15001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
75	15102	15001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
76	15103	15001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
77	15104	15001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
78	15105	15001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
79	15106	15001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
80	15107	15001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
81	16001	16000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
82	16002	16000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
83	16003	16000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
84	16004	16000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
85	16005	16000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
86	16006	16000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
87	16007	16000	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
88	16100	16001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
89	16101	16001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
90	16102	16001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
91	16103	16001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
92	16104	16001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
93	16105	16001	1	14-06-01 00:45:00	16-01-29 02:56:00	200000	0	0	0
94	100011000	11000	1	14-06-01 00:45:01	16-01-29 02:56:01	200001	0	0	0
95	100011001	11001	1	14-06-01 00:45:02	16-01-29 02:56:02	200001	0	0	0
96	100012000	12000	1	14-06-01 00:45:03	16-01-29 02:56:03	200001	0	0	0
97	100012001	12001	1	14-06-01 00:45:04	16-01-29 02:56:04	200001	0	0	0
