 	parent_component_id	type_id	title	description	due	template_type_id	creator_id	component_picture_url	background_color	created_at	updated_at	level_id	privacy_id	order	status
82	NULL	11	settle disagreements		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
83	NULL	11	foreign languages		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
85	NULL	11	maintaining schedules or times		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
90	NULL	11	other spatial scientist		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
96	NULL	11	futures trader		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
97	NULL	11	table tennis		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
98	NULL	11	curiosity		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
99	NULL	11	magic		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
103	NULL	11	technical cable jointer		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
107	NULL	11	speech pathologist		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
108	NULL	11	quick learning skills		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
109	NULL	11	meeting people		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
114	NULL	11	reliable		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
117	NULL	11	help others		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
121	NULL	11	goat farmer		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
123	62	11	Learn French		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
126	NULL	11	making decisions		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
127	NULL	11	gardener (general)		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
129	NULL	11	resolving conflicts		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
134	NULL	11	wool classer		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
137	NULL	11	supervising clients		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
141	NULL	11	ict security specialist		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
145	NULL	11	building additions		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
150	NULL	11	repelling 		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
153	NULL	11	tracking personal finances		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
170	NULL	11	tennis coach		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
173	NULL	11	musician instrumental		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
174	NULL	11	cooperative: work well with others.		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
175	NULL	11	orienteering 		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
176	NULL	11	select good produce		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
184	NULL	11	first aid		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
191	NULL	11	civil engineer		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
195	NULL	11	resourceful		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
198	NULL	11	wise		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
199	NULL	11	home maintenance		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
202	NULL	11	aggressive		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
207	NULL	11	Talent Management		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	3	10002	1	0
209	NULL	11	nurse practitioner		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
220	NULL	11	scheduling		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
226	NULL	11	emergency service worker		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
229	NULL	11	registered nurse (critical care and emergency)		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
237	NULL	11	base jumping		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
239	NULL	11	physicist		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
240	NULL	11	work with minimal supervision		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
241	NULL	11	"compare, inspect, or record facts"		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
250	NULL	11	handle money in a businesslike		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
251	NULL	11	personal and career development skills 		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
253	NULL	11	sweeping the floor		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
256	NULL	11	supportive		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
257	NULL	11	cheerful		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
260	NULL	11	organize and manage projects		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
261	NULL	11	sympathetic		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
264	NULL	11	hydrographer		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
265	NULL	11	obstetrician and gynaecologist		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
268	NULL	11	pysanky 		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
271	NULL	11	anaesthetist		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
273	NULL	11	update your skills		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
276	NULL	11	sound technician		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
279	NULL	11	plastic and reconstructive surgeon		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
282	NULL	11	caf  or restaurant manager		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
289	NULL	11	follow instructions		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
290	NULL	11	make a good first impression		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
291	NULL	11	drama teacher (private tuition)		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
292	NULL	11	shooting sport		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
293	NULL	11	metal casting trades worker		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
298	NULL	11	positivity		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
302	NULL	11	carpenter		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
303	NULL	11	detect a lie		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
319	NULL	11	registered nurse (medical practice)		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
321	NULL	11	typing		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
323	NULL	11	shampooing hair		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
324	NULL	11	jeweller		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
327	NULL	11	coping with deadlines		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
331	NULL	11	urban exploration		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
332	NULL	11	sales representative (industrial products)		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
333	NULL	11	plan ahead		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
337	NULL	11	be a good listener		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
338	NULL	11	surveyor		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
340	NULL	11	sales ability		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
342	NULL	11	electorate officer		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
344	NULL	11	critical thinking skills		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
351	NULL	11	company secretary		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
352	NULL	11	painting trades worker		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
354	NULL	11	"sorting, delivering mail"		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
355	NULL	11	surveying or spatial science technician		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
359	NULL	11	skillfully applying professional knowledge		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
364	NULL	11	translating words		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
366	NULL	11	database administrator		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
368	NULL	11	stay focused on my work		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
369	NULL	11	picking out important information		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
374	NULL	11	giving permanents and body waves		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
375	NULL	11	radiocommunications technician		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
378	NULL	11	window repairs		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
379	NULL	11	sheet-metal work		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
383	NULL	11	first aid trainer		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
386	NULL	11	copywriter		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
387	NULL	11	cycling		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
393	NULL	11	styling		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
395	NULL	11	table football		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
396	NULL	11	football		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
399	NULL	11	telecommunications technical officer or technologist		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
406	NULL	11	network analyst		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
407	NULL	11	special needs teachers		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
414	NULL	11	carpentry skills		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
415	NULL	11	competitive		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
417	NULL	11	biotechnologist		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
423	NULL	11	science technicians nec		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
426	NULL	11	business analyst		0000-00-00 00:00:00	7001	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
428	NULL	11	trusting		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
436	NULL	11	determination		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
438	NULL	11	competent		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
440	NULL	11	meteorology		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
442	NULL	11	listening to people		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
447	NULL	11	maintaining emotional control under stress		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
448	NULL	11	fitness centre manager		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
450	NULL	11	analyze data or facts		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
452	NULL	11	"washing clothes, dishes, windows or the car"		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
462	NULL	11	cosmetics consulting		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
463	NULL	11	creating meaningful and challenging work		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
464	NULL	11	natural and physical science professionals nec		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
471	NULL	11	marketing specialist		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
477	NULL	11	registered nurse (developmental disability)		0000-00-00 00:00:00	7002	1	default.png		0000-00-00 00:00:00	0000-00-00 00:00:00	0	10002	1	0
