id	parent_component_id	type_id	title	description	template_type_id	creator_id	component_picture_url	background_color_id	created_at	updated_at	level_id	privacy_id	order	status
17	7	2	Listen		7001	1	2092.png	0	"2014-09-20 01:51:05"	"2016-02-08 08:00:02"	1	10002	1	0
18	NULL	2	"Pay attention to non-verbal communication"		7001	1	communication-1.jpg	0	"2014-09-20 01:51:01"	"2016-02-08 08:00:02"	1	10002	1	0
19	16	12	"The Weather"	"A subject when starting a conversation"	7001	3	default.png	0	"2014-09-20 01:51:02"	"2016-02-08 08:00:02"	29	10001	1	0
20	NULL	2	Communicate		7001	1	2092.png	0	"2014-09-20 01:51:04"	"2016-02-08 08:00:01"	1	10002	1	0
21	22	2	"Choosing the right words"		7001	1	2092.png	0	"2014-09-20 01:51:02"	"2016-02-08 08:00:01"	1	10002	1	0
22	NULL	2	Speaking		7001	1	2092.png	0	"2014-09-20 01:51:03"	"2016-02-08 08:00:00"	1	10002	1	0
23	24	6	"Organizing your closet"		7001	7	default.png	0	"2014-06-06 17:50:04"	"2016-02-06 04:03:04"	14	10001	1	1
24	NULL	2	"Organizing my apartment"	"I have had some surprise visits. I can imagine if I can either clean so fast that by the time the visitor arrives, it will be as clean to be mi casa es su casa. Or having a habit to keep it clean all the time."	7001	2	apartment.jpg	0	"2014-12-06 19:43:00"	"2016-02-03 07:15:00"	2	10001	10001	0
25	NULL	2	"Read an electric meter."		7001	1	default.png	0	"2014-02-17 13:13:08"	"2016-02-03 02:27:47"	3	10002	1	0
26	NULL	2	"Calculate your net worth"		7001	1	default.png	0	"2014-02-17 13:13:07"	"2016-02-03 02:27:46"	3	10002	1	0
27	NULL	2	"Contest a billing error"		7001	1	default.png	0	"2014-02-17 13:13:06"	"2016-02-03 02:27:45"	3	10002	1	0
28	34	2	"Negotiate medical bills"		7001	1	default.png	0	"2014-02-17 13:13:05"	"2016-02-03 02:27:44"	3	10002	1	0
29	NULL	2	"Balance a checkbook"		7001	1	default.png	0	"2014-02-17 13:13:04"	"2016-02-03 02:27:43"	3	10002	1	0
30	NULL	2	"Make a Household budget"		7001	1	default.png	0	"2014-02-17 13:13:03"	"2016-02-03 02:27:42"	3	10002	1	0
31	NULL	2	"Money management"		7001	1	default.png	0	"2014-02-17 13:13:02"	"2016-02-03 02:27:41"	3	10002	1	0
32	9	2	"Accent reduction - Pitch and Stress"		7002	1	default.png	0	"2014-02-17 13:13:01"	"2016-02-03 02:27:40"	3	10002	1	0
33	NULL	2	"Team Building"		7001	1	default.png	0	"2014-02-17 13:13:01"	"2016-02-03 02:27:38"	3	10002	1	0
34	31	2	Negotiation		7001	1	default.png	0	"2014-02-17 13:13:24"	"2016-02-03 02:27:15"	3	10002	1	0
35	8	2	Motivating		7001	1	default.png	0	"2014-02-17 13:13:25"	"2016-02-03 02:27:14"	3	10002	1	0
36	NULL	2	"Collaborating "		7001	1	default.png	0	"2014-02-17 13:13:26"	"2016-02-03 02:27:13"	3	10002	1	0
37	31	2	Budgeting		7001	1	default.png	0	"2014-06-10 02:57:00"	"2016-02-02 19:29:00"	0	10002	1	0
38	24	6	"Apartment Decoration Ideas"	"Mi casa es su casa. How to  make my apartment awesome"	7001	7	apartment-1.jpg	0	"2014-06-12 18:08:00"	"2016-02-02 19:10:00"	13	10001	1	0
39	NULL	2	business		7001	1	default.png	0	"2014-11-22 11:28:00"	"2016-02-02 14:38:00"	0	10002	1	0
40	NULL	6	"Sushi Making"	"Beginners guide to making sushi from scratch"	7001	14	500004.png	0	"2014-09-26 03:33:00"	"2016-01-30 10:33:00"	14	10001	1	0
41	NULL	2	Swimming	"I can't imagine that I don't know how to swim. I am in California. Need help to start"	7001	3	swimming.jpg	0	"2014-05-31 17:45:00"	"2016-01-28 18:56:00"	3	10001	1	0
42	3	6	"Career Path (Me in 5 years)"	"Career Planning"	7001	4	500003.png	0	"2014-05-13 06:46:00"	"2016-01-28 13:21:00"	16	10001	1	0
43	NULL	2	"Cooking, Grilling, Braaing "	"I have mastered making pork ribs and steak on the grill. Moreover, cooking a meal for my wife"	7001	2	2088.png	0	"2014-09-20 12:36:00"	"2016-01-27 12:31:00"	1	10001	1	0
44	NULL	6	"Web Design & Development (tools to use, advice, introduction)"	"From scratch, what tools to use"	7001	2	500009.png	0	"2014-02-16 04:35:00"	"2016-01-26 08:17:00"	13	10001	1	0
45	NULL	2	"Improving Excel skills. Advanced features "	"How I can use and integrate it to help in my data science field of study."	7001	2	2084.png	0	"2014-10-01 01:07:00"	"2016-01-25 10:21:00"	2	10001	1	0
46	3	2	"Handling a job Interview"	"Sometimes gets nervous for no reason. Then not selling my skills correctly."	7001	2	interview.jpg	0	"2014-07-14 02:51:00"	"2016-01-24 22:49:00"	2	10001	1	0
47	24	6	"Organizing your kitchen area"	"Have your kitchen in order. The kitchen gets used more often than most other areas."	7001	3	500006.png	0	"2014-01-05 05:46:00"	"2016-01-23 19:55:00"	14	10001	1	1
48	NULL	2	"Web Designing"	"Web Designing using simpe tools. i.e. MS Word, MS Powerpoint, MS Visio."	7001	2	2090.png	0	"2014-04-01 11:27:00"	"2016-01-20 16:50:00"	1	10001	1	0
49	NULL	2	"Tell a Story that Captivates People's Attention"	"Everyone has a cool story to tell, but have to work on the delivery and right audience."	7001	2	communication.jpg	0	"2014-06-19 10:10:00"	"2016-01-19 00:16:00"	2	10001	1	0
50	NULL	2	Teamwork	"I think I have gained some experience of being a good teammate. Open to new ideas from another teammate is the best thing of how to learn. But I want to continue improving this skill"	7001	2	2085.png	0	"2014-09-18 23:50:00"	"2016-01-14 23:17:00"	2	10001	1	0
51	NULL	2	"Games - Chess"	"I am not a grandmaster, but for now I am comfortable where I stand. "	7001	2	default.png	0	"2014-07-21 15:03:00"	"2016-01-08 22:03:00"	1	10001	1	0
52	NULL	12	"Body Language"	"A subject when starting a conversation"	7001	2	default.png	0	"2014-09-20 01:51:00"	"2016-01-08 08:00:07"	1	10001	1	0
53	NULL	12	"Remembering names"	"When starting a conversation"	7001	5	default.png	0	"2014-09-20 01:51:01"	"2016-01-08 08:00:05"	29	10001	1	0
54	NULL	2	"Ms Powerpoint: designing icons, greeting cards and creative Powerpoints"	"To some, Photoshop is a default program to go when designing, but if you know deep MS PowerPoint features, you can  d wonderful things design. I have gained a huge amount of designing experience using MS PowerPoint and would like to share my random skills I have used in PowerPoint. Note, almost all the default customised pictures and icons in this application were made using MS PowerPoint."	7001	2	2083.png	0	"2014-09-13 10:45:00"	"2016-01-07 23:26:00"	3	10001	1	0
55	NULL	2	"Advising People"	"Want to improve on how I communicate with others. Not to overwhelm them when giving them advice."	7001	2	2087.png	0	"2014-07-15 17:26:00"	"2016-01-07 19:33:00"	2	10001	1	0
56	NULL	2	"Speaking Clearly"	"Improve how I speak English. Having more American accent might be desirable. Speaking clearly slowly and audible. Sometimes people have some hard times understanding me."	7001	2	communication.jpg	0	"2014-02-22 12:45:00"	"2016-01-07 08:36:00"	2	10001	1	0
57	NULL	6	"Bread Making"	"What can you make with your new bread making machine"	7001	7	500000.png	0	"2014-10-29 04:11:00"	"2016-01-06 21:57:00"	13	10001	1	0
58	24	6	"Organizing your living room area"		7001	5	default.png	0	"2014-06-06 17:50:03"	"2016-01-06 04:03:03"	14	10001	1	1
59	24	6	"Organizing your bedroom area"		7001	7	default.png	0	"2014-06-06 17:50:02"	"2016-01-06 04:03:02"	14	10001	1	1
60	24	6	"Organizing the bathroom area"	"""Can I use your bathroom real quick"" Are you prepared for people to see your bathroom"	7001	3	default.png	0	"2014-06-06 17:50:01"	"2016-01-06 04:03:01"	14	10001	1	1
61	24	6	"Organizing the kitchen area"	"Have your kitchen in order. The kitchen gets used more often than most other areas."	7001	7	500002.png	0	"2014-06-06 17:50:00"	"2016-01-06 04:03:00"	14	10001	1	1
62	NULL	2	"Learn a new language"		7001	1	default.png	0	"2014-02-17 13:13:21"	"2016-01-03 02:27:21"	2	10002	1	0
63	NULL	2	"English pronunciation"		7001	1	default.png	0	"2014-02-17 13:13:02"	"2016-01-03 02:27:20"	2	10002	1	0
64	NULL	2	"Games - Boggle"	"It is an intersting game to learn because it will improve my vocabulary."	7001	2	2089.png	0	"2014-04-26 12:04:00"	"2016-01-02 21:29:00"	2	10001	1	0
65	NULL	2	Adventurous	"Being creative when going out whether with friends and family or on dates. "	7001	2	adventurous.jpg	0	"2014-06-16 19:52:00"	"2016-01-01 01:34:00"	3	10001	1	0
66	NULL	2	"parallel park"		7002	1	default.png	0	"2014-06-19 19:29:00"	"2015-12-31 14:35:00"	0	10002	1	0
67	NULL	2	"enterprising: strong interest, great eagerness."		7002	1	default.png	0	"2014-12-18 08:47:00"	"2015-12-31 11:45:00"	0	10002	1	0
68	NULL	2	florist		7002	1	default.png	0	"2014-07-22 22:43:00"	"2015-12-31 06:57:00"	0	10002	1	0
69	NULL	2	"working knowledge of visual basic"		7002	1	default.png	0	"2014-08-02 21:38:00"	"2015-12-31 06:36:00"	0	10002	1	0
70	NULL	2	"real estate agency principal"		7002	1	default.png	0	"2014-01-03 17:46:00"	"2015-12-31 01:46:00"	0	10002	1	0
71	NULL	3	"Cook a Traditional Dish From a Different Culture"		7002	1	default.png	0	"2014-11-25 15:17:00"	"2015-12-30 17:44:00"	0	10002	1	0
72	NULL	3	"Color My Hair Blue"		7002	1	default.png	0	"2014-07-09 06:23:00"	"2015-12-30 15:47:00"	0	10002	1	0
73	NULL	4	Photography		7002	1	default.png	0	"2014-10-26 17:16:00"	"2015-12-30 13:03:00"	0	10002	1	0
74	NULL	2	"persevering: steadfast pursuit to an aim, refusal to give up; continued effort."		7002	1	default.png	0	"2014-07-24 01:29:00"	"2015-12-30 12:48:00"	0	10002	1	0
75	NULL	2	"defining problems"		7002	1	default.png	0	"2014-04-27 01:39:00"	"2015-12-30 12:27:00"	0	10002	1	0
76	NULL	3	"Hike in Gros Morne National Park"		7002	1	default.png	0	"2014-01-23 14:26:00"	"2015-12-30 12:10:00"	0	10002	1	0
77	NULL	3	"Create a Travel Journal"		7002	1	default.png	0	"2014-06-25 19:01:00"	"2015-12-30 11:57:00"	0	10002	1	0
78	NULL	3	"Attend a Gay Pride Event"		7002	1	default.png	0	"2014-06-02 09:40:00"	"2015-12-30 11:30:00"	0	10002	1	0
79	NULL	3	"Learn to play the violin"		7002	1	default.png	0	"2014-04-18 03:04:00"	"2015-12-30 11:15:00"	0	10002	1	0
80	NULL	3	"Become Ambidextrous"		7002	1	default.png	0	"2014-05-27 09:13:00"	"2015-12-30 10:51:00"	0	10002	1	0
81	NULL	3	"Build Affordable Green Communities"		7002	1	default.png	0	"2014-07-15 00:31:00"	"2015-12-30 10:29:00"	0	10002	1	0
82	NULL	2	"settle disagreements"		7002	1	default.png	0	"2014-07-31 05:07:00"	"2015-12-30 10:03:00"	0	10002	1	0
83	NULL	2	"foreign languages"		7002	1	default.png	0	"2014-01-11 11:47:00"	"2015-12-30 08:16:00"	0	10002	1	0
84	NULL	3	"Carnival of Rio De Janeiro"		7002	1	default.png	0	"2014-05-25 23:16:00"	"2015-12-30 06:30:00"	0	10002	1	0
85	NULL	2	"maintaining schedules or times"		7002	1	default.png	0	"2014-06-13 15:53:00"	"2015-12-30 04:14:00"	0	10002	1	0
86	NULL	3	"Visit the Wizarding World of Harry Potter"		7002	1	default.png	0	"2014-08-18 07:13:00"	"2015-12-30 01:26:00"	0	10002	1	0
87	NULL	3	"Dine in the Eiffel Tower"		7002	1	default.png	0	"2014-01-15 06:53:00"	"2015-12-29 21:22:00"	0	10002	1	0
88	NULL	3	"Learn to play the guitar"		7002	1	default.png	0	"2014-02-09 23:02:00"	"2015-12-29 18:02:00"	0	10002	1	0
89	NULL	3	"Do a Cleanse"		7002	1	default.png	0	"2014-12-29 11:49:00"	"2015-12-29 13:52:00"	0	10002	1	0
90	NULL	2	"other spatial scientist"		7002	1	default.png	0	"2014-03-06 20:02:00"	"2015-12-29 12:18:00"	0	10002	1	0
91	NULL	3	"Renew Our Vows in a Tropical Setting (Dressed in All White)"		7002	1	default.png	0	"2014-04-12 22:08:00"	"2015-12-29 11:58:00"	0	10002	1	0
92	NULL	9	"Get one big success at an early age. It will help build your confidence for bigger things."		7002	1	default.png	0	"2014-06-15 23:57:00"	"2015-12-29 10:40:00"	0	10002	1	0
93	NULL	3	"Bike on the Beach"		7002	1	default.png	0	"2014-08-26 11:24:00"	"2015-12-29 08:50:00"	0	10002	1	0
94	NULL	9	"Find your voice."		7002	1	default.png	0	"2014-05-04 22:45:00"	"2015-12-29 06:15:00"	0	10002	1	0
95	NULL	3	"Down Hill Biking"		7002	1	default.png	0	"2014-03-01 16:35:00"	"2015-12-29 04:49:00"	0	10002	1	0
96	NULL	2	"futures trader"		7002	1	default.png	0	"2014-03-07 21:51:00"	"2015-12-29 02:56:00"	0	10002	1	0
97	NULL	2	"table tennis"		7002	1	default.png	0	"2014-10-02 18:37:00"	"2015-12-29 02:41:00"	0	10002	1	0
98	NULL	2	curiosity		7002	1	default.png	0	"2014-03-06 05:51:00"	"2015-12-29 01:33:00"	0	10002	1	0
99	NULL	2	magic		7002	1	default.png	0	"2014-10-23 01:38:00"	"2015-12-29 01:31:00"	0	10002	1	0
100	NULL	3	"Cross in to Canada By Boat."		7002	1	default.png	0	"2014-09-25 23:58:00"	"2015-12-29 01:25:00"	0	10002	1	0
101	NULL	3	"Hike Mason Dixon Trail"		7002	1	default.png	0	"2014-12-13 04:47:00"	"2015-12-28 23:56:00"	0	10002	1	0
102	NULL	3	"Ride in a Dune Buggy"		7002	1	default.png	0	"2014-09-24 07:48:00"	"2015-12-28 22:08:00"	0	10002	1	0
103	NULL	2	"technical cable jointer"		7002	1	default.png	0	"2014-05-16 05:05:00"	"2015-12-28 21:43:00"	0	10002	1	0
104	NULL	3	"Dance on a Bar"		7002	1	default.png	0	"2014-07-18 00:48:00"	"2015-12-28 21:11:00"	0	10002	1	0
105	NULL	3	"Be a contestant on Survivor"		7002	1	default.png	0	"2014-01-27 13:20:00"	"2015-12-28 19:58:00"	0	10002	1	0
106	NULL	3	"Become a World Renowned Artist"		7002	1	default.png	0	"2014-08-08 02:08:00"	"2015-12-28 19:15:00"	0	10002	1	0
107	NULL	2	"speech pathologist"		7002	1	default.png	0	"2014-08-25 14:08:00"	"2015-12-28 17:24:00"	0	10002	1	0
108	NULL	2	"quick learning skills"		7002	1	default.png	0	"2014-07-09 04:02:00"	"2015-12-28 15:54:00"	0	10002	1	0
109	NULL	2	"meeting people"		7002	1	default.png	0	"2014-12-02 08:00:00"	"2015-12-28 14:47:00"	0	10002	1	0
110	NULL	3	"Lose 100 pounds"		7002	1	default.png	0	"2014-01-02 00:56:00"	"2015-12-28 13:33:00"	0	10002	1	0
111	NULL	3	"Drink At the Guinness Brewery in Ireland"		7002	1	default.png	0	"2014-02-12 08:40:00"	"2015-12-28 13:12:00"	0	10002	1	0
112	NULL	3	"Eliminate My Higher in terest Student Loan Debt"		7002	1	default.png	0	"2014-10-03 16:13:00"	"2015-12-28 11:35:00"	0	10002	1	0
113	NULL	5	"To forget the mistakes of the past and press on to greater achievements of the future."		7002	1	default.png	0	"2014-09-01 21:20:00"	"2015-12-28 09:35:00"	0	10002	1	0
114	NULL	2	reliable		7002	1	default.png	0	"2014-11-08 21:30:00"	"2015-12-28 07:06:00"	0	10002	1	0
115	NULL	4	"Eating out"		7002	1	default.png	0	"2014-01-12 15:04:00"	"2015-12-28 06:42:00"	0	10002	1	0
116	NULL	3	"Get a Professional Body Massage"		7002	1	default.png	0	"2014-04-13 09:20:00"	"2015-12-28 05:35:00"	0	10002	1	0
117	NULL	2	"help others"		7002	1	default.png	0	"2014-05-10 14:25:00"	"2015-12-28 05:27:00"	0	10002	1	0
118	NULL	3	"Decide on My Biggest Goal This Year"		7002	1	default.png	0	"2014-05-05 03:48:00"	"2015-12-28 05:23:00"	0	10002	1	0
119	NULL	4	Hairstyling		7002	1	default.png	0	"2014-02-07 23:31:00"	"2015-12-28 04:46:00"	0	10002	1	0
120	NULL	9	"Don't look at the calendar. Just keep celebrating every day."		7002	1	default.png	0	"2014-12-12 22:02:00"	"2015-12-28 03:58:00"	0	10002	1	0
121	NULL	2	"goat farmer"		7002	1	default.png	0	"2014-01-16 16:33:00"	"2015-12-28 03:48:00"	0	10002	1	0
122	NULL	3	"Read Five Books At the Same Time As My Wife and Discuss Them With Her"		7002	1	default.png	0	"2014-03-06 10:32:00"	"2015-12-28 02:28:00"	0	10002	1	0
123	62	2	"Learn French"		7001	1	default.png	0	"2014-02-17 13:13:11"	"2015-12-28 01:45:39"	3	10002	1	0
124	NULL	4	"Go to free community events"		7002	1	default.png	0	"2014-10-01 00:38:00"	"2015-12-28 00:30:00"	0	10002	1	0
125	NULL	3	"Drive 200+ Kph on the German Autobahn"		7002	1	default.png	0	"2014-01-08 06:27:00"	"2015-12-27 23:19:00"	0	10002	1	0
126	NULL	2	"making decisions"		7002	1	default.png	0	"2014-04-15 10:15:00"	"2015-12-27 21:39:00"	0	10002	1	0
127	NULL	2	"gardener (general)"		7002	1	default.png	0	"2014-07-27 13:56:00"	"2015-12-27 18:35:00"	0	10002	1	0
128	NULL	3	"Compete in an Archery Tournament"		7002	1	default.png	0	"2014-07-02 04:58:00"	"2015-12-27 18:06:00"	0	10002	1	0
129	NULL	2	"resolving conflicts"		7002	1	default.png	0	"2014-12-16 14:01:00"	"2015-12-27 17:48:00"	0	10002	1	0
130	NULL	4	Pottery		7002	1	default.png	0	"2014-12-17 11:11:00"	"2015-12-27 17:18:00"	0	10002	1	0
131	NULL	4	"Tie dyeing"		7002	1	default.png	0	"2014-11-07 22:51:00"	"2015-12-27 17:14:00"	0	10002	1	0
132	NULL	3	"Attend a Beach Bonfire"		7002	1	default.png	0	"2014-02-23 04:38:00"	"2015-12-27 17:08:00"	0	10002	1	0
133	NULL	4	Fashion		7002	1	fashion.jpg	0	"2014-07-02 03:53:00"	"2015-12-27 16:42:00"	0	10002	1	0
134	NULL	2	"wool classer"		7002	1	default.png	0	"2014-10-08 23:35:00"	"2015-12-27 16:16:00"	0	10002	1	0
135	NULL	3	"Complete a Novel"		7002	1	default.png	0	"2014-09-26 07:51:00"	"2015-12-27 13:20:00"	0	10002	1	0
136	NULL	4	"Collecting Butterflies/Insects"		7002	1	default.png	0	"2014-03-02 23:59:00"	"2015-12-27 11:47:00"	0	10002	1	0
137	NULL	2	"supervising clients"		7002	1	default.png	0	"2014-12-22 04:50:00"	"2015-12-27 08:03:00"	0	10002	1	0
138	NULL	3	"Hire my first intern"		7002	1	default.png	0	"2014-04-29 19:01:00"	"2015-12-27 07:10:00"	0	10002	1	0
139	NULL	3	"Ride in a Gondola in Venice in Italy"		7002	1	default.png	0	"2014-08-29 15:50:00"	"2015-12-27 06:50:00"	0	10002	1	0
140	NULL	4	"Rocks & minerals"		7002	1	default.png	0	"2014-08-26 17:52:00"	"2015-12-27 04:01:00"	0	10002	1	0
141	NULL	2	"ict security specialist"		7002	1	default.png	0	"2014-03-26 18:27:00"	"2015-12-27 02:22:00"	0	10002	1	0
142	NULL	4	"Flower arranging"		7002	1	default.png	0	"2014-11-18 23:30:00"	"2015-12-27 01:34:00"	0	10002	1	0
143	NULL	3	"Acquire a company"		7002	1	default.png	0	"2014-10-01 17:37:00"	"2015-12-26 22:52:00"	0	10002	1	0
144	NULL	4	"Board sports"		7002	1	default.png	0	"2014-05-01 11:48:00"	"2015-12-26 22:35:00"	0	10002	1	0
145	NULL	2	"building additions"		7002	1	default.png	0	"2014-05-19 23:17:00"	"2015-12-26 22:09:00"	0	10002	1	0
146	NULL	3	"Celebrate My Birthday in Another Country"		7002	1	default.png	0	"2014-07-31 13:00:00"	"2015-12-26 19:53:00"	0	10002	1	0
147	NULL	4	Flying		7002	1	default.png	0	"2014-02-18 04:43:00"	"2015-12-26 19:31:00"	0	10002	1	0
148	NULL	4	"Learn an instrument"		7002	1	default.png	0	"2014-06-12 16:59:00"	"2015-12-26 16:16:00"	0	10002	1	0
149	NULL	3	"Float in the Dead Sea"		7002	1	default.png	0	"2014-01-23 17:46:00"	"2015-12-26 13:22:00"	0	10002	1	0
150	NULL	2	"repelling "		7002	1	default.png	0	"2014-09-13 20:32:00"	"2015-12-26 12:52:00"	0	10002	1	0
151	NULL	4	"Home movies"		7002	1	default.png	0	"2014-12-28 16:08:00"	"2015-12-26 10:06:00"	0	10002	1	0
152	NULL	9	"If the internet is the best thing in your life, you have a serious problem."		7002	1	default.png	0	"2014-03-27 05:28:00"	"2015-12-26 09:23:00"	0	10002	1	0
153	NULL	2	"tracking personal finances"		7002	1	default.png	0	"2014-08-28 09:51:00"	"2015-12-26 07:16:00"	0	10002	1	0
154	NULL	3	"Learn Latin"		7002	1	default.png	0	"2014-03-05 08:09:00"	"2015-12-26 04:17:00"	0	10002	1	0
155	NULL	3	"Meet Martha Stewart"		7002	1	default.png	0	"2014-06-07 12:19:00"	"2015-12-26 03:27:00"	0	10002	1	0
156	NULL	4	"Pole dancing"		7002	1	default.png	0	"2014-12-12 23:53:00"	"2015-12-26 02:55:00"	0	10002	1	0
157	NULL	4	"Hunting deer"		7002	1	default.png	0	"2014-10-01 09:35:00"	"2015-12-25 23:11:00"	0	10002	1	0
158	NULL	3	"Relax in a Sensory Deprivation Tank"		7002	1	default.png	0	"2014-12-08 11:58:00"	"2015-12-25 22:20:00"	0	10002	1	0
159	NULL	3	"Drink a Glass of Red Wine in Chile"		7002	1	default.png	0	"2014-07-07 18:09:00"	"2015-12-25 21:10:00"	0	10002	1	0
160	NULL	3	"Create My Own Drink"		7002	1	default.png	0	"2014-07-08 23:28:00"	"2015-12-25 16:45:00"	0	10002	101	0
161	NULL	3	"Go Volcano Boarding"		7002	1	default.png	0	"2014-10-20 04:53:00"	"2015-12-25 14:28:00"	0	10002	1	0
162	NULL	3	"Have a Completely Natural Labor and Childbirth"		7002	1	default.png	0	"2014-09-21 02:46:00"	"2015-12-25 13:44:00"	0	10002	1	0
163	NULL	9	"Show up."		7002	1	default.png	0	"2014-02-16 23:40:00"	"2015-12-25 12:12:00"	0	10002	1	0
164	NULL	3	"Collect a Coin From Every Country I Visit"		7002	1	default.png	0	"2014-02-17 08:32:00"	"2015-12-25 10:17:00"	0	10002	1	0
165	NULL	4	"Host a regular dinner party"		7002	1	default.png	0	"2014-12-22 00:19:00"	"2015-12-25 09:53:00"	0	10002	1	0
166	NULL	3	"Hike a Volcano"		7002	1	default.png	0	"2014-06-01 15:13:00"	"2015-12-25 06:12:00"	0	10002	1	0
167	NULL	3	"Tell a totally inoffensive, hilarious joke"		7002	1	default.png	0	"2014-02-19 11:11:00"	"2015-12-25 03:38:00"	0	10002	1	0
168	NULL	3	"Vacation W/My Wife Annually on Our Anniversary for the Rest of Our Lives"		7002	1	default.png	0	"2014-05-29 19:15:00"	"2015-12-25 02:58:00"	0	10002	1	0
169	NULL	3	"Write handwritten letters to 15 people telling them how important they are to me"		7002	1	default.png	0	"2014-03-06 19:37:00"	"2015-12-25 02:10:00"	0	10002	1	0
170	NULL	2	"tennis coach"		7002	1	default.png	0	"2014-08-17 01:21:00"	"2015-12-25 00:42:00"	0	10002	1	0
171	NULL	3	"Leave an in heritance for My Children & My Children s Children"		7002	1	default.png	0	"2014-12-08 20:01:00"	"2015-12-25 00:05:00"	0	10002	1	0
172	NULL	3	"Do a Handstand"		7002	1	default.png	0	"2014-04-21 00:37:00"	"2015-12-24 23:04:00"	0	10002	1	0
173	NULL	2	"musician instrumental"		7002	1	default.png	0	"2014-09-25 01:46:00"	"2015-12-24 21:47:00"	0	10002	1	0
174	NULL	2	"cooperative: work well with others."		7002	1	default.png	0	"2014-02-05 01:31:00"	"2015-12-24 19:50:00"	0	10002	1	0
175	NULL	2	"orienteering "		7002	1	default.png	0	"2014-02-03 11:06:00"	"2015-12-24 12:04:00"	0	10002	1	0
176	NULL	2	"select good produce"		7002	1	default.png	0	"2014-03-30 00:42:00"	"2015-12-24 10:08:00"	0	10002	1	0
177	NULL	3	"Walk the Red Carpet"		7002	1	default.png	0	"2014-07-22 11:27:00"	"2015-12-24 09:03:00"	0	10002	1	0
178	NULL	3	"Receive a Fan Letter"		7002	1	default.png	0	"2014-06-21 06:07:00"	"2015-12-24 08:40:00"	0	10002	1	0
179	NULL	3	"Go to the Us Open"		7002	1	default.png	0	"2014-02-19 05:12:00"	"2015-12-24 07:36:00"	0	10002	1	0
180	NULL	4	"Seashell collecting"		7002	1	default.png	0	"2014-11-14 19:47:00"	"2015-12-24 07:36:00"	0	10002	1	0
181	NULL	3	"Read a New York Times Best Seller"		7002	1	default.png	0	"2014-08-26 13:13:00"	"2015-12-24 06:24:00"	0	10002	1	0
