id	name	description	type
153	icon-lifebuoy		1
154	icon-link		1
155	icon-location		1
156	icon-location2		1
157	icon-magnet		1
158	icon-make-group		1
159	icon-male		1
160	icon-man		1
161	icon-man-woman		1
162	icon-map		1
163	icon-map2		1
164	icon-medal		1
165	icon-medal2		1
166	icon-meter		1
167	icon-meter2		1
168	icon-mic		1
169	icon-microphone		1
170	icon-microphone2		1
171	icon-mobile		1
172	icon-mobile2		1
173	icon-monitor		1
174	icon-mouse		1
175	icon-mug		1
176	icon-mug2		1
177	icon-music		1
178	icon-newspaper		1
179	icon-notification		1
180	icon-npm		1
181	icon-office		1
182	icon-omega		1
183	icon-onedrive		1
184	icon-paint-format		1
185	icon-pen		1
186	icon-pen2		1
187	icon-pen3		1
188	icon-pencil		1
189	icon-pencil2		1
190	icon-pencil3		1
191	icon-phone		1
192	icon-phone2		1
193	icon-phone-hang-up		1
194	icon-piano		1
195	icon-pictures		1
196	icon-pie-chart		1
197	icon-pig		1
198	icon-plane		1
199	icon-power-cord		1
200	icon-presentation		1
201	icon-price-tags		1
202	icon-printer		1
203	icon-profile2		1
204	icon-pushpin		1
205	icon-qrcode		1
206	icon-quill		1
207	icon-radio		1
208	icon-radio2		1
209	icon-radioactive		1
210	icon-road		1
211	icon-rocket		1
212	icon-rocket2		1
213	icon-ruler		1
214	icon-sale		1
215	icon-satellite		1
216	icon-scissors		1
217	icon-scissors2		1
218	icon-scissors3		1
219	icon-screwdriver		1
220	icon-share2		1
221	icon-shield		1
222	icon-shipping		1
223	icon-sigma		1
224	icon-soccer		1
225	icon-spades		1
226	icon-spell-check		1
227	icon-sphere		1
228	icon-spoon-knife		1
229	icon-stats-bars		1
230	icon-stats-bars2		1
231	icon-stats-dots		1
232	icon-steam		1
233	icon-steam2		1
234	icon-stopwatch		1
235	icon-streetlight		1
236	icon-stumbleupon		1
237	icon-stumbleupon2		1
238	icon-subscript		1
239	icon-subscript2		1
240	icon-suitcase		1
241	icon-suitcase2		1
242	icon-sun		1
243	icon-superscript		1
244	icon-superscript2		1
245	icon-table		1
246	icon-table2		1
247	icon-tablet		1
248	icon-target		1
249	icon-target2		1
250	icon-target3		1
251	icon-telegram		1
252	icon-terminal		1
253	icon-text-color		1
254	icon-ticket		1
255	icon-tie		1
256	icon-time		1
257	icon-tools		1
258	icon-tools2		1
259	icon-tools-2		1
260	icon-tree		1
261	icon-trophy		1
262	icon-truck		1
263	icon-truck2		1
264	icon-tux		1
265	icon-tv		1
266	icon-tv2		1
267	icon-twitch		1
268	icon-user-tie		1
269	icon-warning		1
270	icon-watch		1
271	icon-windows		1
272	icon-windows8		1
273	icon-woman		1
274	icon-wordpress		1
275	icon-wrench		1
276	icon-youtube		1
